"","time","avg.parasites","alive.or.dead","resistance.level","sim.num"
"1329",3,15.2222222222222,"alive","Higher Clearance","11"
"1330",4,13.8775510204082,"alive","Higher Clearance","11"
"1331",5,12.3505154639175,"alive","Higher Clearance","11"
"1332",6,11.3263157894737,"alive","Higher Clearance","11"
"1333",7,10.1578947368421,"alive","Higher Clearance","11"
"1334",8,9.14736842105263,"alive","Higher Clearance","11"
"1335",9,8.34782608695652,"alive","Higher Clearance","11"
"1336",10,7.47826086956522,"alive","Higher Clearance","11"
"1337",11,6.86813186813187,"alive","Higher Clearance","11"
"1338",12,6.11111111111111,"alive","Higher Clearance","11"
"1339",13,5.62921348314607,"alive","Higher Clearance","11"
"1340",14,5.1123595505618,"alive","Higher Clearance","11"
"1341",15,4.57303370786517,"alive","Higher Clearance","11"
"1342",16,4.10112359550562,"alive","Higher Clearance","11"
"1343",17,3.66292134831461,"alive","Higher Clearance","11"
"1344",18,3.34831460674157,"alive","Higher Clearance","11"
"1345",19,2.97752808988764,"alive","Higher Clearance","11"
"1346",20,2.70786516853933,"alive","Higher Clearance","11"
"1404",1,15.09,"alive","Higher Infection Resistance","12"
"1405",2,14.87,"alive","Higher Infection Resistance","12"
"1406",3,14.6868686868687,"alive","Higher Infection Resistance","12"
"1407",4,14.530612244898,"alive","Higher Infection Resistance","12"
"1408",5,14.46875,"alive","Higher Infection Resistance","12"
"1409",6,14.34375,"alive","Higher Infection Resistance","12"
"1410",7,14.2395833333333,"alive","Higher Infection Resistance","12"
"1411",8,14.1052631578947,"alive","Higher Infection Resistance","12"
"1412",9,14.0212765957447,"alive","Higher Infection Resistance","12"
"1413",10,13.9255319148936,"alive","Higher Infection Resistance","12"
"1414",11,13.7311827956989,"alive","Higher Infection Resistance","12"
"1415",12,13.6086956521739,"alive","Higher Infection Resistance","12"
"1416",13,13.4222222222222,"alive","Higher Infection Resistance","12"
"1417",14,13.2840909090909,"alive","Higher Infection Resistance","12"
"1418",15,13.1704545454545,"alive","Higher Infection Resistance","12"
"1419",16,13.093023255814,"alive","Higher Infection Resistance","12"
"1420",17,12.952380952381,"alive","Higher Infection Resistance","12"
"1421",18,12.8333333333333,"alive","Higher Infection Resistance","12"
"1422",19,12.7469879518072,"alive","Higher Infection Resistance","12"
"1423",20,12.6144578313253,"alive","Higher Infection Resistance","12"
"1454",1,18.44,"alive","Higher Clearance","12"
"1455",2,16.56,"alive","Higher Clearance","12"
"1456",3,14.8888888888889,"alive","Higher Clearance","12"
"1457",4,13.4545454545455,"alive","Higher Clearance","12"
"1458",5,12.1414141414141,"alive","Higher Clearance","12"
"1459",6,10.9387755102041,"alive","Higher Clearance","12"
"1460",7,9.72164948453608,"alive","Higher Clearance","12"
"1461",8,8.71134020618557,"alive","Higher Clearance","12"
"1462",9,7.82474226804124,"alive","Higher Clearance","12"
"1463",10,6.86458333333333,"alive","Higher Clearance","12"
